"X","Title","Desc","Type","BodyPart","Equipment","Level","Rating","RatingDesc"
928,"Barbell Bench Press - Medium Grip","The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind","Strength","Chest","Barbell","Intermediate",9,"Average"
929,"Decline barbell bench press","The decline barbell bench press is a popular upper-body exercise targeting the lower pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.","Strength","Chest","Barbell","Intermediate",8.9,"Average"
930,"Wide-grip bench press","The wide-grip bench press is a compound exercise targeting the chest and, to a lesser extent, the triceps. The main difference between this exercise and the standard bench press is that the hands are placed farther apart on the bar. Many lifters find they can handle more weight going wide than with narrower grips, although it's also worth noting that plenty of banged-up lifters have said benching with a wide grip may also have contributed to their shoulder injuries and pain. The wide-grip bench is often used as a chest-building movement in chest or upper-body workouts, or as an accessory movement for the traditional bench press.","Strength","Chest","Barbell","Beginner",8.9,"Average"
932,"Barbell Incline Bench Press Medium-Grip","The incline bench press is an upper body compound movement that targets the upper chest.","Strength","Chest","Barbell","Intermediate",8.8,"Average"
935,"Board bench press","The board bench press is an upper-body exercise that is commonly performed as an assistance movement for the bench press. It targets the same muscles as the bench press, including the chest and shoulders, but really focuses on the triceps. Because you can load it more heavily than a full bench press, it allows you to overload the triceps and lock out of the bench press.","Powerlifting","Chest","Barbell","Intermediate",7.7,"Average"
936,"Barbell Bench Press-Wide Grip","The wide-grip bench pressis a compound exercise targeting the chest, primarily. The main difference between this exercise and the standard bench press is that the hands are placed wider apart on the bar.","Strength","Chest","Barbell","Beginner",7.6,"Average"
939,"Band-suspended kettlebell bench press","The band-suspended kettlebell bench press is a bench press variation where kettlebells or weight plates are hung from the ends of a barbell by looped bands. The suspended weights can be in addition to normally loaded weight plates, or in the place of them. Because the instability of the weights makes the lift difficult, this bench press variety is a popular accessory movement for building the traditional bench press in powerlifting training.","Strength","Chest","Bands","Intermediate",,""
958,"Band-suspended kettlebell bench press","The band-suspended kettlebell bench press is a bench press variation where kettlebells or weight plates are hung from the ends of a barbell by looped bands. The suspended weights can be in addition to normally loaded weight plates, or in the place of them. Because the instability of the weights makes the lift difficult, this bench press variety is a popular accessory movement for building the traditional bench press in powerlifting training.","Strength","Chest","Bands","Intermediate",,""
1179,"Palms-down wrist curl over bench","The palms-down wrist curl over bench is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.","Strength","Forearms","Barbell","Intermediate",9.5,"Average"
1180,"Palms-up wrist curl over bench","The palms-up wrist curl over bench is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.","Strength","Forearms","Barbell","Intermediate",9.4,"Average"
1181,"Standing behind-the-back wrist curl","The standing behind-the-back wrist curl is a popular exercise to target the muscles in the forearms, wrists, and fingers. It is generally performed for moderate to high reps, such as 8-15 reps per set, and can work as isolated forearm training or as part of an arms-focused workout.","Strength","Forearms","Barbell","Beginner",9.3,"Average"
1182,"Seated finger curl","The seated finger curl is an exercise targeting the muscles of the hands and forearms. It is popular with rock climbers and other athletes looking to build forearm size and strength. The range of motion is tiny, but done for moderate to high reps, these will definitely make the forearms burn.","Strength","Forearms","Barbell","Beginner",9.3,"Average"
1183,"Seated palms-up wrist curl","The seated palms-up wrist curl is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.","Strength","Forearms","Barbell","Intermediate",8.7,"Average"
1187,"Seated palms-down wrist curl","The seated palms-down wrist curl is an exercise targeting the forearms. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a grip or arm-focused workout.","Strength","Forearms","Dumbbell","Beginner",8.4,"Average"
1191,"Partner farmer's walk","The partner farmer's walk is a protocol for performing farmer's carries with dumbbells or other weights. One partner walks for a predetermined distance or time, then passes the weight to the other partner who walks for the same distance or time.","Strength","Forearms","Dumbbell","Beginner",5.3,"Average"
1192,"Dumbbell suitcase carry","The dumbbell suitcase carry is similar to a dumbbell farmer's carry, but only uses one dumbbell rather than two. This simple change provides a significant challenge to the abdominal muscles. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift.","Strength","Forearms","Dumbbell","Intermediate",0,""
1193,"Suitcase Dumbbell Carry","The dumbbell suitcase carry is similar to a dumbbell farmer?셲 carry, but only uses one dumbbell rather than two. This simple change provides a significant challenge to the abdominal muscles. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift.","Strength","Forearms","Dumbbell","Intermediate",0,"Average"
1194,"Side plank with dumbbell external rotation","The side plank with dumbbell external rotation is a movement that combines an isometric side plank hold with a dumbbell rotation to target both the core and the rotator cuff muscles. You probably won't be able to use much weight without disrupting your balance, but even at light weight, this is a movement that can help address multiple muscle groups in a dynamic warm-up or as accessory work at the end of a workout.","Strength","Forearms","Dumbbell","Intermediate",,""
1196,"Dumbbell farmer's walk","The dumbbell farmer's walk is an exercise with roots in competitive strongman training, but which is also popular in CrossFit and functional training. It can be a challenging finisher to any workout, or work well in fat-loss circuit training or as an accessory movement to heavy lifts like the deadlift.","Strongman","Forearms","Other","Intermediate",9.4,"Average"
1200,"Landmine Press and Catch","The single-arm linear jammer is an explosive pressing movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. The linear jammer involves pressing the weight into the air, then catching it with the other hand. The movement focuses primarily on the muscles of the shoulders or deltoids. It can be trained in traditional muscle and strength-focused rep ranges, for lower reps with a focus on explosive pressing power, or for higher reps.","Strength","Forearms","Other","Intermediate",,""
1201,"Plate halo","The plate halo is an exercise targeting the shoulder complex. It's usually performed as part of a dynamic warm-up prior to an upper-body workout.","Strength","Forearms","Other","Intermediate",,""
1205,"Single-arm cable push-down","The single-arm cable push-down is a single-joint isolation movement that develops the triceps muscle one arm at a time. Because the action is purely at the elbow joint, it is difficult to use any substantial weight. Reps are usually high, such as 8-12 reps per set or more, with a focus on strict form and feeling the mind-muscle connection.","Strength","Forearms","Cable","Intermediate",,""
1213,"Piriformis SMR","Piriformis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the piriformis muscles in the upper gluteal region, some people find they can cause this often painful and tight muscle to relax or ""release."" Piriformis SMR is often accompanied by SMR on the iliotibial (IT) band or tensor fascia lata (TFL muscles), or by stretches that target the glutes and hips.","Stretching","Glutes","Foam Roll","Intermediate",6.6,"Average"
1214,"Barbell glute bridge","The barbell glute bridge is a popular exercise targeting the muscles of the glutes and hamstrings. It can be done as a strength movement on its own, as an activation drill or warm-up for lower-body training, or as a burnout at the end of a lower-body workout.","Powerlifting","Glutes","Barbell","Intermediate",9.4,"Average"
1215,"Barbell Hip Thrust","The barbell hip thrust is an exercise that engages the posterior chain, particular the glutes. It involves fully extending your hips while holding a weighted barbell across the midsection.","Powerlifting","Glutes","Barbell","Intermediate",9.1,"Average"
1219,"Kettlebell thruster","The kettlebell thruster is a popular kettlebell movement that combines a kettlebell front squat with a kettlebell press, while holding the bell in a goblet or bottoms-up grip. It is preceded by a clean at the start of each set, and you can perform a clean between each rep if you choose. It can be trained in traditional strength or muscle-building rep ranges, in circuit or fat-loss training, or as part of a larger kettlebell combination or complex.","Strength","Glutes","Kettlebells","Intermediate",8.6,"Average"
1222,"Single-arm triceps kick-back","The single-arm triceps kick-back is a popular movement to increase size and strength of the triceps. It is usually performed for moderate to high reps, at least 8-12 reps, as part of an upper-body or arm-focused workout.","Strength","Glutes","Dumbbell","Intermediate",,""
1227,"Single-leg cable hip extension","The single-leg cable hip extension is an isolation exercise that targets the glutes, specifically the gluteus maximus. It is a common burnout movement on a lower-body focused day and is usually performed for moderate to high reps, such as 8-12 reps per set or more.","Strength","Glutes","Cable","Intermediate",9,"Average"
1229,"Cable rope pull-through deadlift","The cable rope pull-through deadlift is an exercise targeting the glutes and hamstrings using a proper hip-hinging motion.","Strength","Glutes","Cable","Intermediate",,""
1232,"Glute bridge","The glute bridge is a popular lower-body bodyweight exercise that primarily targets the glutes, but also activates the lower back and hamstrings. It can be performed with body weight alone, or with added resistance such as barbells, dumbbells, or bands. It can be performed for time or reps and works perfectly in a dynamic warm-up for lower-body training, but can also be performed for glute activation anytime.","Strength","Glutes","Body Only","Intermediate",8.8,"Average"
1233,"Single-leg glute bridge","The single-leg glute bridge is a lower-body exercise that targets the glutes, lower back, and hamstrings. It is performed one side at a time.","Strength","Glutes","Body Only","Intermediate",8.8,"Average"
1234,"Step-up with knee raise","The step-up with knee raise is a lower-body exercise targeting the quads, glutes, and hamstrings. It differs from a traditional step-up in that at the top, you lift the trailing leg up to full hip flexion. This gives the exercise a greater range of motion and more of a focus on powerful hip extension in the working leg. When performed with body weight, these are usually performed for high reps as part of a dynamic warm-up, as cardio acceleration, or as part of the lower-body portion of a workout or circuit.","Strength","Glutes","Body Only","Intermediate",8.7,"Average"
1236,"Standing hip extension","The standing hip extension is a movement that activates the glutes and hamstrings. It is often performed either for time or reps as part of a dynamic warm-up.","Strength","Glutes","Body Only","Beginner",6.5,"Average"
1237,"Lying glute stretch","The lying glute stretch is a stretch to help increase flexibility in the glutes and hips. It involves rotating a single leg over the body while lying flat on the back, and reaching around the leg to facilitate a stretch. It is commonly included in dynamic warm-ups or cool-downs, but can also be performed as full-body mobility work anytime.","Stretching","Glutes","Body Only","Intermediate",4.8,"Average"
1247,"Lunge kick","The lunge kick is a lower-body, cardio-based exercise performed at a high intensity. It includes a kick of the front leg to make the movement more powerful. It can be performed either for time or reps and is a great inclusion in a fat-loss or athleticism-focused circuit workout.","Strength","Glutes","Body Only","Intermediate",,""
1248,"Curtsy lunge","The curtsy lunge is a lower-body bodyweight movement that targets the muscles of the hips and glutes. It is usually performed for moderate to high reps, at least 8-12 reps per leg.","Strength","Glutes","Body Only","Intermediate",,""
1249,"Alternating standing glute stretch","The alternating standing glute stretch focuses on improving lower-body mobility and flexibility, particularly in the hips and glutes. It involves performing a partial squat in a ""figure 4"" position. It can be performed as part of a lower-body warm-up or done post-workout to help combat tightness and soreness.","Stretching","Glutes","Body Only","Intermediate",,""
1250,"Side-lying leg lift","The side-lying leg lift is a bodyweight exercise targeting the muscles of the hips and glutes. It can be a worthy addition to a dynamic warm-up on a lower-body or strength-focused training day, a component of a lower-body circuit or workout, or a glute activation drill to do anytime. Generally, leg lifts are done for high reps, such as 8-15 reps per leg or more.","Strength","Glutes","Body Only","Intermediate",,""
1251,"FYR Progressive High Knee","High knees is a full-body, cardio-based exercise with an emphasis on the lower body. It is often performed for reps or time as part of a dynamic warm-up.","Strength","Glutes","Body Only","Intermediate",,""
1252,"Glute-Ham Raise - Gethin Variation","The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.","Strength","Glutes","Body Only","Intermediate",,""
1253,"Lunge glute stretch","The lunge glute stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is influenced by the pigeon pose from yoga, but is performed with straight arms. It can be part of a dynamic warm-up or mobility work performed anytime.","Stretching","Glutes","Body Only","Intermediate",,""
1254,"Natural Glute Ham Raise - Gethin Variation","The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.","Strength","Glutes","Body Only","Intermediate",,""
1289,"Band low-to-high twist","The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.","Strength","Abdominals","Bands","Intermediate",,""
1292,"Barbell Deadlift","The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift.","Strength","Hamstrings","Barbell","Intermediate",9.4,"Average"
1294,"Sumo deadlift","The sumo deadlift is a compound movement in which the feet are set in a wide stance with toes pointed out and grip is placed inside of the legs. It is allowed to be performed instead of conventional deadlifts in most powerlifting competitions. The sumo deadlift targets the hamstrings, glutes, and upper back/traps, but also has a greater emphasis on stretching and strengthening the adductor and hip muscles due to the wide stance.","Powerlifting","Hamstrings","Barbell","Beginner",9.3,"Average"
1299,"Power clean","The power clean is a full-body movement in which the bar is pulled from the floor and caught in the front rack position in three pulls or phases. The bar is received in the ""power"" position, with the hips higher than a full-depth squat position. The power clean can be used as a component of the clean and press or clean and jerk, but is also a valuable lift to build explosive power and strength.","Strength","Hamstrings","Barbell","Intermediate",8.7,"Average"
1304,"Barbell stiff-legged deadlift","The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.","Strength","Hamstrings","Barbell","Intermediate",8.3,"Average"
1305,"Romanian Deadlift","The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.","Strength","Hamstrings","Barbell","Intermediate",8.1,"Average"
1309,"Stiff-Legged Deadlift","The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.","Strength","Hamstrings","Barbell","Beginner",0,"Average"
1317,"Kettlebell pass-through lunge","The kettlebell pass-through lunge is a dynamic leg and core exercise in which a lifter passes a weight under their front leg during lunges. It is a unique coordination challenge, but also challenging to the musculature of the abdomen, lower body, shoulders, and upper back. It is most commonly performed for higher reps, such as 10-15 reps per side, or for time. It can work in circuit-style workouts, or in lower-body or full-body time-efficient training.","Strength","Hamstrings","Kettlebells","Intermediate",8.7,"Average"
1318,"Kettlebell One-Legged Deadlift","The kettlebell single-leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement. It's popular in lower-body training for strength and muscle building, but also trains balance, grip, and the core muscles.","Strength","Hamstrings","Kettlebells","Intermediate",8.6,"Average"
1319,"Single-arm kettlebell clean","The single-arm kettlebell clean is an explosive kettlebell exercise where the lifter pulls the weight to shoulder level in a single movement. While the kettlebell clean is often used as a transitional movement into the press or front squat, it is also a valuable strength and power exercise in its own right. It can be performed in low rep ranges for strength or higher rep ranges for technique practice or muscle growth.","Strength","Hamstrings","Kettlebells","Beginner",8.6,"Average"
1320,"Single-leg kettlebell deadlift","The kettlebell single-leg deadlift is a variation on the kettlebell deadlift where one foot stays planted on the ground while the other raises into the air at the bottom of the movement. It's popular in lower-body training for strength and muscle building, but also trains balance, grip, and the core muscles.","Strength","Hamstrings","Kettlebells","Intermediate",8.2,"Average"
1322,"Single-arm kettlebell swing","The single-arm kettlebell swing is a popular exercise emphasizing the muscles of the hamstrings, glutes, and back. Because you are only swinging with one arm at a time, it is also uniquely challenging to the grip and core muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, or in circuit training.","Strength","Hamstrings","Kettlebells","Intermediate",7.4,"Average"
1329,"Romanian Deadlift With Dumbbells","The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree.","Strength","Hamstrings","Dumbbell","Beginner",9.4,"Average"
1330,"Stiff-Legged Dumbbell Deadlift","The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree.","Strength","Hamstrings","Dumbbell","Intermediate",8.8,"Average"
1335,"Box jump","The box jump is an explosive exercise that strengthens the muscles of the lower body, including the quads, glutes, calves, and hamstrings. They also develop power in the lower body while revving the heart rate. Box jumps can be performed for low reps to focus on strength and power, or for higher reps for metabolic conditioning. Most coaches recommend stepping down rather than jumping down between reps.","Plyometrics","Hamstrings","Other","Beginner",8.6,"Average"
1336,"Box Jump (Multiple Response)","The box jump is a plyometric exercise that strengthens the muscles of the lower body, including the quads, glutes, calves and hamstrings. They also develop power in the lower-body while revving the heart rate.","Plyometrics","Hamstrings","Other","Intermediate",8.1,"Average"
1344,"Hamstring slide","The hamstring slide is a bodyweight exercise targeting the hamstrings. Lying supine on a smooth surface, bend your knees to pull both heels toward you. The sliding action requires a pad, cloth, or furniture sliders under the heels. These are considered more difficult than exercise ball hamstring curls and are a great primer movement before heavy squats or deadlifts, or as an accessory movement later in a lower-body workout.","Strength","Hamstrings","Other","Beginner",0,""
1346,"Lying cable leg curl","The lying cable leg curl is a classic machine exercise for building greater muscle size and strength in the hamstrings. It's easy to learn, easy to master, and poses little in the way of injury risk. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of lower-body training.","Strength","Hamstrings","Cable","Intermediate",,""
1347,"Standing cable leg curl","The standing cable leg curl is an isolation exercise for the hamstrings. It is often used as a variation of leg curl machines and for working each side independently. It is usually performed for moderate to high reps, at least 8-12 reps per set, as part of lower-body training.","Strength","Hamstrings","Cable","Intermediate",,""
1348,"Lying Leg Curls","The lying leg curl is a popular machine-based exercise for the legs, particularly the hamstrings. It is similar to the seated leg curl, but the open hip angle in the lying leg curl may incorporate more glute and calf activation. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.","Strength","Hamstrings","Machine","Beginner",8.9,"Average"
1349,"Glute Ham Raise","The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.","Powerlifting","Hamstrings","Machine","Intermediate",8.4,"Average"
1416,"Single-arm band low row","The single-arm band low row is a single-arm row variation utilizing a band for resistance that is anchored low. It targets the muscles of the middle back, like the lats (latissimus dorsi) and rhomboids, but also the core. It is usually performed for moderate to high reps, at least 8-15 reps per set, in the later stages of a back or upper-body workout.","Strength","Lats","Bands","Intermediate",,""
1418,"Bent-arm barbell pull-over","The bent-arm barbell pull-over was a staple exercise of the ""Golden Era"" of bodybuilding and a favorite of Arnold Schwarzenegger himself. Done properly, the exercise targets the pecs, lats, and serratus anterior muscles. Old-school bodybuilders would perform them with light weights for sets of 20 between sets of heavy 20-rep squats, but pull-overs are more popular today in moderate rep ranges, such as 8-12 reps per set, as part of an upper-body workout.","Strength","Lats","Barbell","Intermediate",8,"Average"
1419,"Barbell pull-over to press","The barbell pull-over to press is a complex that combines two popular exercises into one sequence that works much of the upper body, particularly the chest, triceps, and serratus anterior muscles. It is commonly performed with an EZ-bar, but can also be performed with a straight bar or neutral-grip bar. Because the pull-over will determine the amount of weight you can use, this movement is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the upper-body portion of a workout.","Strength","Lats","Barbell","Beginner",0,""
1422,"Side kick-through to kettlebell high pull","The side kick-through to kettlebell high pull is a combination of a popular bodyweight exercise and an explosive kettlebell movement. Between them, the pairing targets the traps, shoulders, core, hips, hamstrings, and glutes. This combination can be performed for time or for reps, often as circuit-style training for conditioning or fat loss.","Strength","Lats","Kettlebells","Intermediate",,""
1433,"Dumbbell seal row","The dumbbell seal row is a weighted exercise targeting the muscles of the middle back, including the lats (latissimus dorsi) and rhomboids. It can be performed on a special elevated bench, on a bench placed on top of boxes or benches, or on a bench with a slight incline. The higher the bench, the greater the range of motion and stretch at the bottom of the movement. It is usually performed as an assistance movement for back strength and muscle growth, in rep ranges of 8-12 reps per set or higher.","Strength","Lats","Dumbbell","Intermediate",,""
1434,"Incline Dumbbell Row - Gethin Variation","The incline dumbbell row is an upper body isolation exercise targeting the lower lats and upper back muscles.","Strength","Lats","Dumbbell","Intermediate",,""
1436,"Straight-Arm Dumbbell Pull-Over - Gethin Variation","The straight-arm dumbbell pull-overpull-over was a staple exercise of the Golden Era of bodybuilding and a favorite of Arnold Schwarzenegger himself. Done properly, the exercise hits the bottom of the pecs, the lats, the abs, and the triceps.","Strength","Lats","Dumbbell","Intermediate",,""
1437,"Bent-Over Dumbbell Row - Gethin Variation","The dumbbell bent-over row is a popular exercise to develop and strengthen the muscles of the upper and middle back, like the latissimus (lat), lower trapezius, and rear deltoids. It can work equally well in strength, muscle-building, or circuit-style fat-loss workouts.","Strength","Lats","Dumbbell","Intermediate",,""
1447,"Total Fitness Dumbbell Isometric Row Hold","The dumbbell bent-over row is a popular exercise to develop and strengthen the muscles of the upper and middle back, like the latissimus (lat), lower trapezius, and rear deltoids. It can work equally well in strength, muscle-building, or circuit-style fat-loss workouts.","Strength","Lats","Dumbbell","Intermediate",,""
1448,"Dumbbell renegade row","The dumbbell renegade row combines rowing and core training into a single difficult movement. It's popular in time-efficient strength and muscle-building workouts, as well as in circuit-style training.","Strength","Lats","Dumbbell","Intermediate",,""
1454,"Floor rope climb","The floor rope climb is an exercise that involves performing partial rope climbs in a prone position with the feet on the floor. It can help prepare someone for full rope climbs, but also trains the muscles of the back, biceps, and grip. It can be done for time or reps.","Strength","Lats","Other","Beginner",7,"Average"
1456,"Around-the-world pull-up","The around-the-world pull-up is a more advanced version of the classic pull-up. It focuses stress more directly on the individual arms or sides of the back, while also boosting the time under tension at the top of each rep. It can be used as a progression toward a one-arm pull-up, or simply as a way to increase the challenge and variety of your pull-up training.","Strength","Lats","Other","Beginner",0,""
1457,"L-sit chin-up","The L-sit chin-up is an exercise targeting the back, biceps, core, and overall upper-body strength. It is considered significantly more difficult than standard chin-ups, and as such, is often performed for relatively low reps, such as 5-8 reps per set or less, with a focus on strength and form.","Strength","Lats","Other","Beginner",0,""
1458,"Back Flyes - Gethin Variation","The incline dumbbell reverse fly is an upper-body exercise targeting the posterior or rear deltoids, as well as the postural muscles of the upper back. Because it targets such small muscles, this exercise is usually performed with light weight for high reps, such as 10-15 reps per set or more.","Strength","Lats","Other","Intermediate",,""
1536,"Band deadlift","The band deadlift is a lower-body exercise that mainly targets the hamstrings while also benefiting the glutes and lats using a proper hip-hinging motion.","Strength","Lower Back","Bands","Intermediate",,""
1542,"Rack pull","The rack pull is a variation of the deadlift performed from an elevated height, either using boxes, safety pins, or the safeties in a squat rack. It targets all the same muscles as the deadlift, including the glutes, hamstrings, upper back, lower back, and grip. It can be used to strengthen deadlift lockout, but also as a deadlift alternative for people who can't deadlift from the floor without pain.","Powerlifting","Lower Back","Barbell","Intermediate",8.3,"Average"
1546,"Paul Carter Romanian Deadlift","The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.","Strength","Lower Back","Barbell","Intermediate",,""
1548,"TBS Romanian Deadlift","The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.","Strength","Lower Back","Barbell","Intermediate",,""
1549,"Barbell deadlift-","The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift.","Strength","Lower Back","Barbell","Intermediate",,""
1550,"Deadlift - Gethin Variation","The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift.","Strength","Lower Back","Barbell","Intermediate",,""
1552,"UP Conventional Deadlift","The barbell deadlift is a compound exercise used to develop overall strength and size in the posterior chain. It is a competition lift in the sport of powerlifting, but is also considered a classic benchmark of overall strength. When performed with the hands outside the knees, it is often called a ""conventional"" deadlift. When the feet are wide and the hands are inside the knees, it is a sumo deadlift.","Strength","Lower Back","Barbell","Intermediate",,""
1554,"FYR Sumo Deadlift High Pull","The kettlebell sumo deadlift high pull is a dynamic kettlebell exercise that focuses on the muscles of the posterior chain, including the hamstrings, glutes, traps, rear delts, and upper back. It can be done in lower reps for power or strength, or higher reps for conditioning and fat loss. It can also be a component of a circuit-style kettlebell workout, either for time or reps.","Strength","Lower Back","Kettlebells","Intermediate",,""
1555,"Kettlebell deadlift","The kettlebell deadlift is a foundational movement in kettlebell training. It's often taught as a buildup or regression to the kettlebell swing, as well as to instruct the ""hip hinge"" motion in a more approachable manner than with a barbell.","Strength","Lower Back","Kettlebells","Intermediate",,""
1562,"Dumbbell skier","As the name suggests, the dumbbell skier takes the motion of skiing and replaces the poles with dumbbells. The hip and torso motion are similar to a kettlebell swing, as are the muscles it targets, including the hamstrings, glutes, upper back, and grip. However, unlike the traditional kettlebell swing, the arms are outside of the knees. This movement can be performed for time or for reps, but is usually performed for relatively high reps, such as 8-12 sets per rep or more, as part of a fat-loss or athleticism-focused circuit or workout.","Strength","Lower Back","Dumbbell","Intermediate",,""
1563,"TBS Dumbbell Romanian Deadlift","The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree.","Strength","Lower Back","Dumbbell","Intermediate",,""
1564,"Stiff-Legged Dumbbell Deadlift - Gethin Variation","The dumbbell stiff-legged deadlift targets the hamstrings, glutes, low and upper back, as well as the core. The purpose of the stiff-legged, as opposed to Romanian deadlift with slightly bent knees, is to engage the hamstrings and low back to an even greater degree.","Strength","Lower Back","Dumbbell","Intermediate",,""
1573,"Dumbbell kickstand deadlift","The dumbbell kickstand deadlift is a movement targeting the muscles of the hamstrings, glutes, and back. The kickstand position can help focus the stretch and contraction on each individual leg, similar to a single-leg Romanian deadlift, while presenting less of a balance challenge. It can be performed in low reps, such as 5-8 reps per set, for strengthening the posterior chain, or for higher reps for muscle growth.","Strength","Lower Back","Dumbbell","Intermediate",,""
1574,"Single-leg stiff-legged deadlift to row","The single-leg stiff-legged deadlift to row takes two popular strength moves and combines them into one full-body blaster. Between the deadlift and the row, you'll target the glutes, hamstrings, quads, back, and biceps. Because balance can be a challenge, this movement is usually done with relatively light weights for high reps, such as 8-12 reps per set or more.","Strength","Lower Back","Dumbbell","Intermediate",,""
1631,"Decline bar press sit-up","The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Strength","Abdominals","Barbell","Intermediate",8.5,"Average"
1632,"Partner side plank band row","The partner side plank band row is an abdominal exercise where two partners perform side planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.","Strength","Middle Back","Bands","Intermediate",0,""
1633,"Band-assisted chin-up","The band-assisted chin-up is a variation of the pull-up exercise in which the reps are performed with the palms facing toward the body in an underhand position, with a band looped around the feet or knees. This reduces weight and resistance at the bottom of the rep, while increasing it toward the top. Like other pull-up variations, it builds strength and muscle in the upper back, biceps, and core, but it utilizes the biceps slightly more than overhand band-assisted pull-ups.","Strength","Middle Back","Bands","Intermediate",,""
1636,"Band bent-over row","The band bent-over row is an exercise to develop and strengthen the muscles of the upper and middle back, like the latissimus (lat), lower trapezius, and rear deltoids. Bands provide dynamic resistance and can work equally well in strength, muscle-building, or circuit-style fat-loss workouts.","Strength","Middle Back","Bands","Intermediate",,""
1637,"Heavy band bent-over row","The heavy band bent-over row is a variation of the popular barbell exercise to develop and strengthen the muscles of the upper and middle back, like the latissimus (lats), lower trapezius, and rear deltoids. It can work equally well in strength, muscle-building, or circuit-style fat-loss workouts.","Strength","Middle Back","Bands","Intermediate",,""
